"","16137.Aligned.sortedByCoord.out.bam"
"100287102",120
"653635",5319
"102466751",0
"100302278",2
"645520",15
"79501",6
"729737",7631
"102725121",116
"102723897",5310
"102465909",0
"729759",226
"100132287",7085
"105378947",0
"101928626",0
"102465432",9
"81399",226
"100133331",7870
"100288069",49
"400728",0
"79854",25
"643837",4
"284593",2
"100130417",0
"148398",8
"26155",381
"339451",59
"84069",9
"84808",81
"57801",49
"9636",14
"375790",486
"105369174",0
"105378948",0
"401934",0
"54991",15
"254099",0
"406984",0
"406983",0
"554210",0
"254173",9
"8784",2
"7293",1
"51150",364
"126792",4
"388581",6
"118424",129
"6339",25
"116983",274
"102465434",0
"126789",19
"54973",291
"102465435",0
"80772",34
"83756",12
"1855",177
"102466740",0
"54587",441
"54998",51
"81669",1417
"148413",22
"55052",144
"441869",2
"643965",0
"102724312",0
"64856",12
"219293",52
"83858",381
"55210",349
"339453",2
"29101",240
"643988",3
"142678",187
"8510",157
"984",1795
"728661",1183
"8511",156
"728642",1670
"9906",1120
"65220",363
"2782",1691
"105378949",0
"163688",1
"339456",5
"85452",1
"2563",4
"5590",57
"100506504",0
"199990",54
"105378592",5
"6497",887
"105378594",6
"79906",56
"100129534",1
"11079",670
"5192",22
"9651",61
"55229",201
"388585",0
"115110",0
"8764",347
"100996583",0
"127281",12
"79258",4
"100287898",1
"140625",0
"440556",4
"63976",218
"100422968",0
"27237",5
"1953",318
"693135",0
"127262",138
"49856",80
"7161",2
"57212",103
"148870",3
"388588",1
"57470",196
"9731",516
"1677",62
"339448",170
"100133612",0
"728716",0
"284661",0
"55966",5
"100616489",0
"100616421",0
"261734",127
"8514",1053
"26038",33
"6146",2532
"102724450",0
"388591",45
"23463",109
"148645",0
"390992",0
"387509",11
"11332",222
"54626",0
"83715",5
"100422975",0
"8718",47
"57449",269
"79707",291
"80835",5
"3104",171
"9903",53
"148479",111
"90326",76
"55735",306
"100505887",0
"23261",294
"9341",403
"8863",1005
"10911",1
"3604",8
"11315",1846
"54206",2067
"102724539",0
"50651",43
"473",1590
"102724552",0
"2023",4362
"102465436",0
"100505975",0
"765",0
"155184",1
"6518",94
"80045",17
"407040",8
"9563",726
"80176",69
"100506022",0
"84275",69
"199953",28
"5293",947
"644997",36
"101929074",0
"22883",1112
"56998",21
"84328",138
"64802",72
"100847055",0
"105376719",0
"116362",142
"10277",1786
"23095",6178
"100422970",0
"5226",1217
"100526739",0
"378708",0
"1325",0
"1676",67
"5195",236
"54897",141
"148345",7
"23435",1445
"10747",52
"6723",80
"5394",866
"2475",1700
"100873935",0
"10218",75
"29914",253
"57540",1
"101929181",0
"26232",2
"93611",62
"26270",49
"10459",78
"374946",0
"57085",135
"284498",2
"102724659",0
"4524",427
"1185",363
"100379251",0
"4878",13
"4879",0
"26829",0
"90231",204
"5351",1845
"9927",1650
"60672",90
"102466982",0
"943",9
"102465836",0
"7133",509
"100616438",0
"55187",7976
"677885",105
